Scripture Set #1 - Creation to Christ: Helping People Discover God			
		Genesis 1:1-25	 Discover our Creator
		Genesis 1:26-31	 The Image of God
		Genesis 2:7-17	 God's Provides & Instructs
		Genesis 3:1-6	 Man Disobeys God
		Genesis 3:7-13	 Results of Disobedience
		Genesis 3:14-24	 Creation Cursed & Promise
		Genesis 6:5-17	 Compounded Consequences
		Genesis 11:1-9	 United in Rebellion
		Genesis 12:1-3	 God's Promised Restoration
		Genesis 22:1-19	 God Provides a Ram
		Exodus 12:1-28	 A Passover Lamb
		Isaiah 53	 Messiah will Suffer
		Luke 1:26-38, 2:1-20	 God's Promised Savior
		Matthew 3:13-17	 Jesus Baptized
		John 1:29-34	 The Lamb of God
		Matthew 4:1-11	 Jesus Tested
		Luke 5:17-26	 Forgiving & Healing
		Mark 4:35-41	 Power Over Nature
		Mark 5:1-20	 Power Over Demons
		John 11:1-44	 Power Over Death
		John 18:1-11	 Jesus Betrayed & Arrested
		Luke 23:32-56	 Crucified yet Forgiving
		Luke 24:1-35	 Jesus' Resurrection
		Matthew 11:28-30	 Come to Jesus
		John 3:1-7, 14-19	 Born Again
			
Scripture Set #2 – The Church: Becoming a Community of Christ Followers			
		Luke 19:1-10	 Repenting & Believing
		Acts 1:4-5, 8, 2:1-17	 Holy Spirit Empowered
		Acts 2:14, 22-24, 36-41	 Baptizing Followers
		Acts 2:41-47	 Functions of Churches
		Acts 3:1-19	 Praying for Healing
		Acts 4:1-22	 Making Disciples
		Acts 4:23-31	 Spirit's Empowerment
		Acts 4:32-35	 Lifestyle of Generosity
		Acts 5:12 ,17-35,40-41	 Courage in Suffering
		Acts 6:1-7	 Developing Leaders
		Acts 6:8-15, 7:56-60 & 8:1-4	 Enduring
		Acts 8:26-39	 Baptizing New Followers
		Acts 9:1-22	 Sharing Good News
		Acts 9:32-42	 Praying for Oppressed
		Acts 11:19-26	 Studying God's Word
		Acts 11:25-30	 Mission of Generosity
			
	The Kingdom of God (10 passages)		
		Genesis 3:14-24	 Promise of the Seed
		2 Samuel 7:4-5, 12-16	" Eternal Kingdom	"
		Isaiah 9:6-7	 Messiah born of a virgin
		Isaiah 40:3-5, 42:1-4	 New Kingdom
		Isaiah 53	 Messiah will Suffer
		Daniel 2:44,7:14	Eternal kingdom for all
		Matthew 6:25-33	 Kingdom Focus
		Matthew 24:3-14	 The Culmination
		Hebrews 10:12-14	 Kingdom Sacrifice
		1 Timothy 6:11-16	 King of Kings
			
Scripture Set #3 – A Sample Set For Developing Leaders			
		Titus 1:1-4	" Promises of God	"
		Titus 1:5-9	 Qualifications of Elders
		Titus 1:10-16	 Behavior of the lost
		Titus 2:1-5	 Leading those older
		Titus 2:6-10	" Leading those younger	"
		Titus 2:11-14	 Grace & Renouncing
		Titus 2:15-3:2	 Vision Reminders
		Titus 3:3-8	" Grace motivates compassion	"
		Titus 3:9-11	" Handling distractions	"
		Titus 3:12-15	 Focused on Mission
		Ezekiel 34:11-24; 36:22-27	Shepherding Introduction
			
Scripture Set #4 – Various issues of Mission & Contextualization			
	Disciple Making Movement Training		
		Luke 15:11-32	 God's loving heart
		John 6:43-45	 God draws, so ask him to
		Deuteronomy 6:4-9	 Show your Christian life
		Luke 10:1-12	 A Jesus strategy to reach the lost
			
	Commitment to Jesus		
		Mark 12:28-31	 Love God and neighbor
		Luke 14:25-27, 33	 Die daily and follow Christ
		John 12:24-26	 Die to bear much fruit
		John 13:34-35	 Love as Christ loves us
		John 14:15-16	 Love and obey Jesus, receive the Holy Spirit
		John 15:7-8	 Remain in Christ to bear fruit
		John 20:28-29	 Trust Jesus as Lord and God
		Matthew 28:18-20	 Make disciples of all nations
			
	Marriage		
		Genesis 24:1-29, 50-67	 In good times and bad: Isaac & Rebekah
		Ruth 2:1-23	 Love, honor and cherish: Ruth and Boaz
		Genesis 29:1-30	 'Till death do us part: Jacob and Rachel
		John 13:1-17	 Serving one another: Who's job is foot washing?
		Genesis 2:4-25	 One-flesh friends: Adam and Eve
		Song of Songs 6:13-8:4	 Lovers: celebrate the difference
			
	Grief and loss		
		2 Kings 4:8-37	 Denial: Elisha and a woman in denial
		Ruth 1:1-22	 Anger: Naomi empty and bitter
		2 Samuel 12:15-25	 Bargaining: David bargains with God
		Genesis 37:12-36	 Depression: Jacob mourns for Joseph
		Job 2:1-10	 Acceptance: Job suffers
		John 11:1-44	 Hope: Jesus raises Lazarus
			
	The Kingdom of God		
		Genesis 3:14-24	 Promise of the Seed
		2 Samuel 7:4-5, 12-16	Eternal Kingdom
		Isaiah 9:6-7	 Messiah born of a virgin
		Isaiah 40:3-5, 42:1-4	 New Kingdom
		Isaiah 53	 Messiah will Suffer
		Daniel 2:44,7:14	Eternal kingdom for all
		Matthew 6:25-33	 Kingdom Focus
		Matthew 24:3-14	 The Culmination
		Hebrews 10:12-14	 Kingdom Sacrifice
		1 Timothy 6:11-16	 King of Kings
